1 , 1559891
2 , 498252
3 , 263958
4 , 168944
5 , 115769
6 , 85323
7 , 64238
8 , 49751
9 , 40007
10 , 32180
11 , 26825
12 , 22509
13 , 18312
14 , 15173
15 , 12759
16 , 10884
17 , 9396
18 , 8149
19 , 6876
20 , 5834
21 , 4922
22 , 4384
23 , 3832
24 , 3292
25 , 2849
26 , 2276
27 , 1983
28 , 1740
29 , 1430
30 , 1308
31 , 1084
32 , 996
33 , 823
34 , 737
35 , 688
36 , 565
37 , 468
38 , 426
39 , 372
40 , 296
41 , 263
42 , 276
43 , 223
44 , 207
45 , 168
46 , 136
47 , 134
48 , 94
49 , 88
50 , 78
51 , 69
52 , 55
53 , 45
54 , 54
55 , 46
56 , 33
57 , 28
58 , 29
59 , 18
60 , 15
61 , 18
62 , 17
63 , 10
64 , 20
65 , 12
66 , 10
67 , 11
68 , 3
69 , 6
70 , 8
71 , 7
72 , 11
73 , 8
74 , 3
76 , 5
77 , 2
78 , 1
79 , 2
80 , 2
81 , 1
83 , 5
84 , 3
88 , 2
90 , 2
92 , 3
97 , 1
