1559891 , 1
498252 , 2
263958 , 3
168944 , 4
115769 , 5
85323 , 6
64238 , 7
49751 , 8
40007 , 9
32180 , 10
26825 , 11
22509 , 12
18312 , 13
15173 , 14
12759 , 15
10884 , 16
9396 , 17
8149 , 18
6876 , 19
5834 , 20
4922 , 21
4384 , 22
3832 , 23
3292 , 24
2849 , 25
2276 , 26
1983 , 27
1740 , 28
1430 , 29
1308 , 30
1084 , 31
996 , 32
823 , 33
737 , 34
688 , 35
565 , 36
468 , 37
426 , 38
372 , 39
296 , 40
263 , 41
276 , 42
223 , 43
207 , 44
168 , 45
136 , 46
134 , 47
94 , 48
88 , 49
78 , 50
69 , 51
55 , 52
45 , 53
54 , 54
46 , 55
33 , 56
28 , 57
29 , 58
18 , 59
15 , 60
18 , 61
17 , 62
10 , 63
20 , 64
12 , 65
10 , 66
11 , 67
3 , 68
6 , 69
8 , 70
7 , 71
11 , 72
8 , 73
3 , 74
5 , 76
2 , 77
1 , 78
2 , 79
2 , 80
1 , 81
5 , 83
3 , 84
2 , 88
2 , 90
3 , 92
1 , 97
